algoritmo,tamanho_labirinto,indice_labirinto,tempo_execucao_ms,nos_visitados,encontrou_caminho,comprimento_caminho,memoria_kb
DFS,grande,1,11152.27,140470,True,25207,24941.03
DFS,grande,2,35585.95,435740,True,86463,83167.57
DFS,grande,3,14978.76,193975,True,25143,36441.93
DFS,grande,4,35614.03,435229,True,91427,83080.36
DFS,grande,5,28212.14,338921,True,47011,73265.5
DFS,grande,6,31208.23,385263,True,64347,74491.6
DFS,grande,7,17480.75,217549,True,38327,40627.73
DFS,grande,8,23755.78,286276,True,60115,52492.93
DFS,grande,9,25593.76,312451,True,48003,55984.53
DFS,grande,10,11932.31,148937,True,28123,26532.57
DFS,grande,11,38672.21,469471,True,69395,88963.91
DFS,grande,12,19018.85,238527,True,28655,43548.37
DFS,grande,13,26309.66,317518,True,41463,73186.35
DFS,grande,14,32695.15,396951,True,61555,77620.23
DFS,grande,15,21510.1,260366,True,86959,48350.81
DFS,grande,16,38215.99,464133,True,57699,88120.92
DFS,grande,17,25004.02,305602,True,56475,55109.87
DFS,grande,18,40872.07,490369,True,77759,92556.29
DFS,grande,19,38453.29,467528,True,93123,88631.11
DFS,grande,20,38856.63,473211,True,102219,89607.71
